t: 86.000000	: 28357.945223	vx: -8746.883036	vy: 152.891756
t: 86.500000	: 28434.391100	vx: -8925.904225	vy: 151.054597
t: 87.000000	: 28509.918399	vx: -9105.226782	vy: 149.225445
t: 87.500000	: 28584.531122	vx: -9284.830385	vy: 147.404576
t: 88.000000	: 28658.233410	vx: -9464.694940	vy: 145.592263
t: 88.500000	: 28731.029541	vx: -9644.800592	vy: 143.788776
t: 89.000000	: 28802.923929	vx: -9825.127731	vy: 141.994379
t: 89.500000	: 28873.921119	vx: -10005.656997	vy: 140.209335
t: 90.000000	: 28944.025786	vx: -10186.369288	vy: 138.433899
t: 90.500000	: 29013.242735	vx: -10367.245764	vy: 136.668321
t: 91.000000	: 29081.576896	vx: -10548.267852	vy: 134.912849
t: 91.500000	: 29149.033320	vx: -10729.417254	vy: 133.167722
t: 92.000000	: 29215.617181	vx: -10910.675949	vy: 131.433176
t: 92.500000	: 29281.333769	vx: -11092.026201	vy: 129.709441
t: 93.000000	: 29346.188490	vx: -11273.450559	vy: 127.996739
t: 93.500000	: 29410.186860	vx: -11454.931865	vy: 126.295289
t: 94.000000	: 29473.334504	vx: -11636.453254	vy: 124.605301
t: 94.500000	: 29535.637154	vx: -11817.998161	vy: 122.926980
t: 95.000000	: 29597.100644	vx: -11999.550322	vy: 121.260525
t: 95.500000	: 29657.730907	vx: -12181.093778	vy: 119.606127
t: 96.000000	: 29717.533971	vx: -12362.612876	vy: 117.963972
t: 96.500000	: 29776.515957	vx: -12544.092274	vy: 116.334238
t: 97.000000	: 29834.683076	vx: -12725.516938	vy: 114.717096
t: 97.500000	: 29892.041624	vx: -12906.872149	vy: 113.112710
t: 98.000000	: 29948.597979	vx: -13088.143501	vy: 111.521239
t: 98.500000	: 30004.358598	vx: -13269.316905	vy: 109.942832
t: 99.000000	: 30059.330014	vx: -13450.378586	vy: 108.377633
t: 99.500000	: 30113.518831	vx: -13631.315086	vy: 106.825778
t: 100.000000	: 30166.931720	vx: -13812.113263	vy: 105.287396
t: 100.500000	: 30219.575418	vx: -13992.760293	vy: 103.762610
t: 101.000000	: 30271.456723	vx: -14173.243668	vy: 102.251533
t: 101.500000	: 30322.582489	vx: -14353.551195	vy: 100.754273
t: 102.000000	: 30372.959626	vx: -14533.670996	vy: 99.270932
t: 102.500000	: 30422.595092	vx: -14713.591508	vy: 97.801603
t: 103.000000	: 30471.495894	vx: -14893.301480	vy: 96.346372
t: 103.500000	: 30519.669080	vx: -15072.789972	vy: 94.905319
t: 104.000000	: 30567.121740	vx: -15252.046354	vy: 93.478517
t: 104.500000	: 30613.860998	vx: -15431.060304	vy: 92.066031
t: 105.000000	: 30659.894014	vx: -15609.821804	vy: 90.667921
t: 105.500000	: 30705.227974	vx: -15788.321140	vy: 89.284238
t: 106.000000	: 30749.870093	vx: -15966.548899	vy: 87.915029
t: 106.500000	: 30793.827608	vx: -16144.495965	vy: 86.560333
t: 107.000000	: 30837.107774	vx: -16322.153518	vy: 85.220183
t: 107.500000	: 30879.717865	vx: -16499.513029	vy: 83.894605
t: 108.000000	: 30921.665168	vx: -16676.566258	vy: 82.583619
t: 108.500000	: 30962.956977	vx: -16853.305252	vy: 81.287241
t: 109.000000	: 31003.600598	vx: -17029.722337	vy: 80.005477
t: 109.500000	: 31043.603336	vx: -17205.810121	vy: 78.738331
t: 110.000000	: 31082.972502	vx: -17381.561485	vy: 77.485800
t: 110.500000	: 31121.715402	vx: -17556.969580	vy: 76.247874
t: 111.000000	: 31159.839339	vx: -17732.027826	vy: 75.024538
t: 111.500000	: 31197.351608	vx: -17906.729905	vy: 73.815775
t: 112.000000	: 31234.259495	vx: -18081.069757	vy: 72.621557
t: 112.500000	: 31270.570274	vx: -18255.041579	vy: 71.441857
t: 113.000000	: 31306.291202	vx: -18428.639816	vy: 70.276638
t: 113.500000	: 31341.429521	vx: -18601.859159	vy: 69.125861
t: 114.000000	: 31375.992451	vx: -18774.694543	vy: 67.989482
t: 114.500000	: 31409.987192	vx: -18947.141139	vy: 66.867452
t: 115.000000	: 31443.420918	vx: -19119.194350	vy: 65.759718
t: 115.500000	: 31476.300777	vx: -19290.849808	vy: 64.666223
t: 116.000000	: 31508.633888	vx: -19462.103368	vy: 63.586905
t: 116.500000	: 31540.427341	vx: -19632.951105	vy: 62.521700
t: 117.000000	: 31571.688191	vx: -19803.389307	vy: 61.470538
t: 117.500000	: 31602.423460	vx: -19973.414474	vy: 60.433346
t: 118.000000	: 31632.640133	vx: -20143.023309	vy: 59.410050
t: 118.500000	: 31662.345158	vx: -20312.212716	vy: 58.400568
t: 119.000000	: 31691.545442	vx: -20480.979795	vy: 57.404818
t: 119.500000	: 31720.247851	vx: -20649.321839	vy: 56.422716
t: 120.000000	: 31748.459209	vx: -20817.236325	vy: 55.454171
t: 120.500000	: 31776.186294	vx: -20984.720915	vy: 54.499093
t: 121.000000	: 31803.435841	vx: -21151.773445	vy: 53.557388
t: 121.500000	: 31830.214535	vx: -21318.391926	vy: 52.628958
t: 122.000000	: 31856.529014	vx: -21484.574538	vy: 51.713706
t: 122.500000	: 31882.385866	vx: -21650.319625	vy: 50.811529
t: 123.000000	: 31907.791631	vx: -21815.625688	vy: 49.922324
t: 123.500000	: 31932.752793	vx: -21980.491386	vy: 49.045986
t: 124.000000	: 31957.275786	vx: -22144.915527	vy: 48.182408
t: 124.500000	: 31981.366990	vx: -22308.897066	vy: 47.331480
t: 125.000000	: 32005.032730	vx: -22472.435101	vy: 46.493092
t: 125.500000	: 32028.279276	vx: -22635.528867	vy: 45.667131
t: 126.000000	: 32051.112841	vx: -22798.177732	vy: 44.853483
t: 126.500000	: 32073.539583	vx: -22960.381195	vy: 44.052034
t: 127.000000	: 32095.565600	vx: -23122.138881	vy: 43.262667
t: 127.500000	: 32117.196933	vx: -23283.450534	vy: 42.485264
t: 128.000000	: 32138.439565	vx: -23444.316020	vy: 41.719707
t: 128.500000	: 32159.299419	vx: -23604.735314	vy: 40.965877
t: 129.000000	: 32179.782357	vx: -23764.708505	vy: 40.223653
t: 129.500000	: 32199.894184	vx: -23924.235785	vy: 39.492915
t: 130.000000	: 32219.640641	vx: -24083.317452	vy: 38.773540
t: 130.500000	: 32239.027411	vx: -24241.953899	vy: 38.065406
t: 131.000000	: 32258.060114	vx: -24400.145618	vy: 37.368391
t: 131.500000	: 32276.744309	vx: -24557.893191	vy: 36.682372
t: 132.000000	: 32295.085495	vx: -24715.197290	vy: 36.007224
t: 132.500000	: 32313.089107	vx: -24872.058670	vy: 35.342825
t: 133.000000	: 32330.760519	vx: -25028.478171	vy: 34.689050
t: 133.500000	: 32348.105044	vx: -25184.456708	vy: 34.045775
t: 134.000000	: 32365.127932	vx: -25339.995275	vy: 33.412877
t: 134.500000	: 32381.834370	vx: -25495.094937	vy: 32.790230
t: 135.000000	: 32398.229485	vx: -25649.756828	vy: 32.177712
t: 135.500000	: 32414.318341	vx: -25803.982151	vy: 31.575198
t: 136.000000	: 32430.105940	vx: -25957.772171	vy: 30.982565
t: 136.500000	: 32445.597222	vx: -26111.128214	vy: 30.399689
t: 137.000000	: 32460.797067	vx: -26264.051664	vy: 29.826447
t: 137.500000	: 32475.710290	vx: -26416.543963	vy: 29.262717
t: 138.000000	: 32490.341649	vx: -26568.606604	vy: 28.708375
t: 138.500000	: 32504.695836	vx: -26720.241130	vy: 28.163301
t: 139.000000	: 32518.777487	vx: -26871.449135	vy: 27.627373
t: 139.500000	: 32532.591174	vx: -27022.232256	vy: 27.100470
t: 140.000000	: 32546.141409	vx: -27172.592175	vy: 26.582472
t: 140.500000	: 32559.432644	vx: -27322.530614	vy: 26.073258
t: 141.000000	: 32572.469274	vx: -27472.049336	vy: 25.572711
t: 141.500000	: 32585.255629	vx: -27621.150139	vy: 25.080712
t: 142.000000	: 32597.795985	vx: -27769.834857	vy: 24.597143
t: 142.500000	: 32610.094557	vx: -27918.105355	vy: 24.121887
t: 143.000000	: 32622.155500	vx: -28065.963532	vy: 23.654828
t: 143.500000	: 32633.982914	vx: -28213.411314	vy: 23.195851
t: 144.000000	: 32645.580840	vx: -28360.450653	vy: 22.744842
t: 144.500000	: 32656.953261	vx: -28507.083530	vy: 22.301687
t: 145.000000	: 32668.104104	vx: -28653.311946	vy: 21.866273
t: 145.500000	: 32679.037241	vx: -28799.137926	vy: 21.438489
t: 146.000000	: 32689.756486	vx: -28944.563516	vy: 21.018223
t: 146.500000	: 32700.265597	vx: -29089.590779	vy: 20.605366
t: 147.000000	: 32710.568280	vx: -29234.221796	vy: 20.199808
t: 147.500000	: 32720.668184	vx: -29378.458666	vy: 19.801442
t: 148.000000	: 32730.568905	vx: -29522.303499	vy: 19.410160
t: 148.500000	: 32740.273985	vx: -29665.758421	vy: 19.025857
t: 149.000000	: 32749.786913	vx: -29808.825568	vy: 18.648427
t: 149.500000	: 32759.111127	vx: -29951.507089	vy: 18.277767
t: 150.000000	: 32768.250010	vx: -30093.805139	vy: 17.913773
t: 150.500000	: 32777.206897	vx: -30235.721885	vy: 17.556343
t: 151.000000	: 32785.985068	vx: -30377.259497	vy: 17.205377
t: 151.500000	: 32794.587757	vx: -30518.420154	vy: 16.860775
t: 152.000000	: 32803.018145	vx: -30659.206040	vy: 16.522438
t: 152.500000	: 32811.279364	vx: -30799.619341	vy: 16.190268
t: 153.000000	: 32819.374498	vx: -30939.662248	vy: 15.864168
t: 153.500000	: 32827.306582	vx: -31079.336951	vy: 15.544044
t: 154.000000	: 32835.078604	vx: -31218.645646	vy: 15.229800
t: 154.500000	: 32842.693503	vx: -31357.590525	vy: 14.921343
t: 155.000000	: 32850.154175	vx: -31496.173781	vy: 14.618580
t: 155.500000	: 32857.463465	vx: -31634.397605	vy: 14.321421
t: 156.000000	: 32864.624176	vx: -31772.264189	vy: 14.029776
t: 156.500000	: 32871.639064	vx: -31909.775718	vy: 13.743555
t: 157.000000	: 32878.510841	vx: -32046.934376	vy: 13.462670
t: 157.500000	: 32885.242176	vx: -32183.742342	vy: 13.187034
t: 158.000000	: 32891.835692	vx: -32320.201790	vy: 12.916561
t: 158.500000	: 32898.293973	vx: -32456.314891	vy: 12.651168
t: 159.000000	: 32904.619557	vx: -32592.083806	vy: 12.390769
t: 159.500000	: 32910.814942	vx: -32727.510693	vy: 12.135283
t: 160.000000	: 32916.882583	vx: -32862.597702	vy: 11.884627
t: 160.500000	: 32922.824896	vx: -32997.346974	vy: 11.638722
t: 161.000000	: 32928.644257	vx: -33131.760644	vy: 11.397488
t: 161.500000	: 32934.343001	vx: -33265.840838	vy: 11.160846
t: 162.000000	: 32939.923424	vx: -33399.589672	vy: 10.928719
t: 162.500000	: 32945.387783	vx: -33533.009254	vy: 10.701031
t: 163.000000	: 32950.738299	vx: -33666.101683	vy: 10.477706
t: 163.500000	: 32955.977152	vx: -33798.869046	vy: 10.258671
t: 164.000000	: 32961.106487	vx: -33931.313421	vy: 10.043851
t: 164.500000	: 32966.128412	vx: -34063.436876	vy: 9.833176
t: 165.000000	: 32971.045000	vx: -34195.241465	vy: 9.626573
t: 165.500000	: 32975.858287	vx: -34326.729235	vy: 9.423972
t: 166.000000	: 32980.570273	vx: -34457.902218	vy: 9.225305
t: 166.500000	: 32985.182925	vx: -34588.762436	vy: 9.030503
t: 167.000000	: 32989.698177	vx: -34719.311899	vy: 8.839498
t: 167.500000	: 32994.117926	vx: -34849.552605	vy: 8.652225
t: 168.000000	: 32998.444038	vx: -34979.486537	vy: 8.468618
t: 168.500000	: 33002.678347	vx: -35109.115669	vy: 8.288613
t: 169.000000	: 33006.822654	vx: -35238.441960	vy: 8.112146
t: 169.500000	: 33010.878727	vx: -35367.467356	vy: 7.939155
t: 170.000000	: 33014.848304	vx: -35496.193793	vy: 7.769578
t: 170.500000	: 33018.733093	vx: -35624.623189	vy: 7.603355
t: 171.000000	: 33022.534770	vx: -35752.757452	vy: 7.440425
t: 171.500000	: 33026.254983	vx: -35880.598476	vy: 7.280731
t: 172.000000	: 33029.895348	vx: -36008.148140	vy: 7.124214
t: 172.500000	: 33033.457455	vx: -36135.408312	vy: 6.970817
t: 173.000000	: 33036.942863	vx: -36262.380844	vy: 6.820483
t: 173.500000	: 33040.353105	vx: -36389.067575	vy: 6.673159
t: 174.000000	: 33043.689684	vx: -36515.470330	vy: 6.528788
t: 174.500000	: 33046.954078	vx: -36641.590920	vy: 6.387318
t: 175.000000	: 33050.147737	vx: -36767.431144	vy: 6.248695
t: 175.500000	: 33053.272085	vx: -36892.992783	vy: 6.112868
t: 176.000000	: 33056.328519	vx: -37018.277608	vy: 5.979786
t: 176.500000	: 33059.318412	vx: -37143.287374	vy: 5.849398
t: 177.000000	: 33062.243111	vx: -37268.023823	vy: 5.721654
t: 177.500000	: 33065.103937	vx: -37392.488681	vy: 5.596506
t: 178.000000	: 33067.902191	vx: -37516.683662	vy: 5.473906
t: 178.500000	: 33070.639144	vx: -37640.610466	vy: 5.353807
t: 179.000000	: 33073.316047	vx: -37764.270778	vy: 5.236162
t: 179.500000	: 33075.934128	vx: -37887.666270	vy: 5.120926
t: 180.000000	: 33078.494591	vx: -38010.798598	vy: 5.008053
t: 180.500000	: 33080.998618	vx: -38133.669407	vy: 4.897499
