t: 68.500000	: 18532.228963	vx: 4404.800800	vy: 176.653259
t: 69.000000	: 18620.555592	vx: 4275.452596	vy: 175.546500
t: 69.500000	: 18708.328842	vx: 4144.462277	vy: 174.439302
t: 70.000000	: 18795.548493	vx: 4011.845634	vy: 173.331769
t: 70.500000	: 18882.214378	vx: 3877.618488	vy: 172.224009
t: 71.000000	: 18968.326382	vx: 3741.796685	vy: 171.116131
t: 71.500000	: 19053.884447	vx: 3604.396093	vy: 170.008247
t: 72.000000	: 19138.888571	vx: 3465.432594	vy: 168.900470
t: 72.500000	: 19223.338806	vx: 3324.922084	vy: 167.792915
t: 73.000000	: 19307.235264	vx: 3182.880464	vy: 166.685697
t: 73.500000	: 19390.578112	vx: 3039.323637	vy: 165.578932
t: 74.000000	: 19473.367578	vx: 2894.267503	vy: 164.472738
t: 74.500000	: 19555.603947	vx: 2747.727954	vy: 163.367234
t: 75.000000	: 19637.287564	vx: 2599.720872	vy: 162.262536
t: 75.500000	: 19718.418832	vx: 2450.262121	vy: 161.158766
t: 76.000000	: 19798.998215	vx: 2299.367545	vy: 160.056040
t: 76.500000	: 19879.026235	vx: 2147.052962	vy: 158.954478
t: 77.000000	: 19958.503474	vx: 1993.334161	vy: 157.854199
t: 77.500000	: 20037.430574	vx: 1838.226899	vy: 156.755321
t: 78.000000	: 20115.808234	vx: 1681.746892	vy: 155.657961
t: 78.500000	: 20193.637214	vx: 1523.909817	vy: 154.562237
t: 79.000000	: 20270.918333	vx: 1364.731307	vy: 153.468265
t: 79.500000	: 20347.652465	vx: 1204.226941	vy: 152.376161
t: 80.000000	: 20423.840546	vx: 1042.412249	vy: 151.286040
t: 80.500000	: 20499.483566	vx: 879.302703	vy: 150.198015
t: 81.000000	: 20574.582574	vx: 714.913714	vy: 149.112199
t: 81.500000	: 20649.138674	vx: 549.260631	vy: 148.028704
t: 82.000000	: 20723.153025	vx: 382.358735	vy: 146.947638
t: 82.500000	: 20796.626845	vx: 214.223237	vy: 145.869111
t: 83.000000	: 20869.561400	vx: 44.869275	vy: 144.793231
t: 83.500000	: 20941.958016	vx: -125.688090	vy: 143.720101
t: 84.000000	: 21013.818066	vx: -297.433876	vy: 142.649828
t: 84.500000	: 21085.142980	vx: -470.353183	vy: 141.582512
t: 85.000000	: 21155.934236	vx: -644.431197	vy: 140.518255
t: 85.500000	: 21226.193364	vx: -819.653189	vy: 139.457156
t: 86.000000	: 21295.921942	vx: -996.004522	vy: 138.399311
t: 86.500000	: 21365.121597	vx: -1173.470652	vy: 137.344816
t: 87.000000	: 21433.794006	vx: -1352.037129	vy: 136.293765
t: 87.500000	: 21501.940888	vx: -1531.689599	vy: 135.246248
t: 88.000000	: 21569.564012	vx: -1712.413809	vy: 134.202356
t: 88.500000	: 21636.665190	vx: -1894.195607	vy: 133.162175
t: 89.000000	: 21703.246277	vx: -2077.020943	vy: 132.125791
t: 89.500000	: 21769.309173	vx: -2260.875874	vy: 131.093288
t: 90.000000	: 21834.855817	vx: -2445.746563	vy: 130.064748
t: 90.500000	: 21899.888191	vx: -2631.619280	vy: 129.040248
t: 91.000000	: 21964.408315	vx: -2818.480408	vy: 128.019868
t: 91.500000	: 22028.418249	vx: -3006.316439	vy: 127.003682
t: 92.000000	: 22091.920090	vx: -3195.113980	vy: 125.991763
t: 92.500000	: 22154.915972	vx: -3384.859751	vy: 124.984183
t: 93.000000	: 22217.408063	vx: -3575.540589	vy: 123.981009
t: 93.500000	: 22279.398568	vx: -3767.143446	vy: 122.982311
t: 94.000000	: 22340.889723	vx: -3959.655392	vy: 121.988151
t: 94.500000	: 22401.883798	vx: -4153.063618	vy: 120.998593
t: 95.000000	: 22462.383095	vx: -4347.355432	vy: 120.013697
t: 95.500000	: 22522.389943	vx: -4542.518264	vy: 119.033523
t: 96.000000	: 22581.906705	vx: -4738.539663	vy: 118.058126
t: 96.500000	: 22640.935768	vx: -4935.407304	vy: 117.087561
t: 97.000000	: 22699.479548	vx: -5133.108982	vy: 116.121881
t: 97.500000	: 22757.540489	vx: -5331.632614	vy: 115.161136
t: 98.000000	: 22815.121057	vx: -5530.966242	vy: 114.205374
t: 98.500000	: 22872.223744	vx: -5731.098033	vy: 113.254643
t: 99.000000	: 22928.851065	vx: -5932.016275	vy: 112.308986
t: 99.500000	: 22985.005558	vx: -6133.709385	vy: 111.368446
t: 100.000000	: 23040.689781	vx: -6336.165900	vy: 110.433064
t: 100.500000	: 23095.906313	vx: -6539.374486	vy: 109.502878
t: 101.000000	: 23150.657752	vx: -6743.323931	vy: 108.577925
t: 101.500000	: 23204.946715	vx: -6948.003149	vy: 107.658242
t: 102.000000	: 23258.775835	vx: -7153.401180	vy: 106.743859
t: 102.500000	: 23312.147765	vx: -7359.507188	vy: 105.834810
t: 103.000000	: 23365.065170	vx: -7566.310462	vy: 104.931124
t: 103.500000	: 23417.530732	vx: -7773.800414	vy: 104.032828
t: 104.000000	: 23469.547146	vx: -7981.966584	vy: 103.139949
t: 104.500000	: 23521.117120	vx: -8190.798633	vy: 102.252511
t: 105.000000	: 23572.243376	vx: -8400.286346	vy: 101.370537
t: 105.500000	: 23622.928644	vx: -8610.419634	vy: 100.494048
t: 106.000000	: 23673.175668	vx: -8821.188528	vy: 99.623064
t: 106.500000	: 23722.987200	vx: -9032.583183	vy: 98.757603
t: 107.000000	: 23772.366002	vx: -9244.593878	vy: 97.897680
t: 107.500000	: 23821.314842	vx: -9457.211009	vy: 97.043312
t: 108.000000	: 23869.836498	vx: -9670.425097	vy: 96.194511
t: 108.500000	: 23917.933753	vx: -9884.226783	vy: 95.351289
t: 109.000000	: 23965.609398	vx: -10098.606827	vy: 94.513658
t: 109.500000	: 24012.866227	vx: -10313.556107	vy: 93.681625
t: 110.000000	: 24059.707039	vx: -10529.065623	vy: 92.855198
t: 110.500000	: 24106.134638	vx: -10745.126490	vy: 92.034385
t: 111.000000	: 24152.151831	vx: -10961.729941	vy: 91.219190
t: 111.500000	: 24197.761426	vx: -11178.867326	vy: 90.409617
t: 112.000000	: 24242.966234	vx: -11396.530109	vy: 89.605668
t: 112.500000	: 24287.769068	vx: -11614.709870	vy: 88.807345
t: 113.000000	: 24332.172740	vx: -11833.398304	vy: 88.014647
t: 113.500000	: 24376.180064	vx: -12052.587217	vy: 87.227574
t: 114.000000	: 24419.793851	vx: -12272.268529	vy: 86.446124
t: 114.500000	: 24463.016913	vx: -12492.434270	vy: 85.670293
t: 115.000000	: 24505.852059	vx: -12713.076582	vy: 84.900076
t: 115.500000	: 24548.302097	vx: -12934.187715	vy: 84.135469
t: 116.000000	: 24590.369832	vx: -13155.760028	vy: 83.376465
t: 116.500000	: 24632.058064	vx: -13377.785989	vy: 82.623055
t: 117.000000	: 24673.369592	vx: -13600.258172	vy: 81.875233
t: 117.500000	: 24714.307208	vx: -13823.169257	vy: 81.132988
t: 118.000000	: 24754.873702	vx: -14046.512027	vy: 80.396311
t: 118.500000	: 24795.071858	vx: -14270.279373	vy: 79.665189
t: 119.000000	: 24834.904452	vx: -14494.464284	vy: 78.939611
t: 119.500000	: 24874.374257	vx: -14719.059854	vy: 78.219563
t: 120.000000	: 24913.484039	vx: -14944.059276	vy: 77.505033
t: 120.500000	: 24952.236556	vx: -15169.455846	vy: 76.796006
t: 121.000000	: 24990.634558	vx: -15395.242954	vy: 76.092466
t: 121.500000	: 25028.680791	vx: -15621.414091	vy: 75.394397
t: 122.000000	: 25066.377990	vx: -15847.962845	vy: 74.701783
t: 122.500000	: 25103.728881	vx: -16074.882898	vy: 74.014606
t: 123.000000	: 25140.736184	vx: -16302.168027	vy: 73.332847
t: 123.500000	: 25177.402608	vx: -16529.812104	vy: 72.656490
t: 124.000000	: 25213.730852	vx: -16757.809091	vy: 71.985512
t: 124.500000	: 25249.723609	vx: -16986.153043	vy: 71.319896
t: 125.000000	: 25285.383557	vx: -17214.838107	vy: 70.659621
t: 125.500000	: 25320.713367	vx: -17443.858516	vy: 70.004664
t: 126.000000	: 25355.715699	vx: -17673.208594	vy: 69.355005
t: 126.500000	: 25390.393201	vx: -17902.882752	vy: 68.710621
t: 127.000000	: 25424.748512	vx: -18132.875486	vy: 68.071490
t: 127.500000	: 25458.784257	vx: -18363.181378	vy: 67.437588
t: 128.000000	: 25492.503051	vx: -18593.795094	vy: 66.808893
t: 128.500000	: 25525.907498	vx: -18824.711384	vy: 66.185379
t: 129.000000	: 25559.000187	vx: -19055.925079	vy: 65.567022
t: 129.500000	: 25591.783698	vx: -19287.431092	vy: 64.953798
