i: 113	t: 0.003767	in: 0.062544	or: 0.057758	oi: -0.948290
i: 114	t: 0.003800	in: 0.123572	or: 0.064045	oi: -0.937012
i: 115	t: 0.003833	in: 0.164202	or: 0.070145	oi: -0.925977
i: 116	t: 0.003867	in: 0.183199	or: 0.076071	oi: -0.915173
i: 117	t: 0.003900	in: 0.181549	or: 0.081819	oi: -0.904582
i: 118	t: 0.003933	in: 0.162228	or: 0.087409	oi: -0.894226
i: 119	t: 0.003967	in: 0.129797	or: 0.092834	oi: -0.884067
i: 120	t: 0.004000	in: 0.089864	or: 0.098106	oi: -0.874115
i: 121	t: 0.004033	in: 0.048457	or: 0.103238	oi: -0.864356
i: 122	t: 0.004067	in: 0.011382	or: 0.108214	oi: -0.854790
i: 123	t: 0.004100	in: -0.016390	or: 0.113069	oi: -0.845406
i: 124	t: 0.004133	in: -0.031231	or: 0.117784	oi: -0.836210
i: 125	t: 0.004167	in: -0.031231	or: 0.122385	oi: -0.827174
i: 126	t: 0.004200	in: -0.016390	or: 0.126851	oi: -0.818311
i: 127	t: 0.004233	in: 0.011382	or: 0.131215	oi: -0.809609
i: 128	t: 0.004267	in: 0.048457	or: 0.135429	oi: -0.801058
i: 129	t: 0.004300	in: 0.089864	or: 0.139572	oi: -0.792662
i: 130	t: 0.004333	in: 0.129797	or: 0.143593	oi: -0.784411
i: 131	t: 0.004367	in: 0.162228	or: 0.147519	oi: -0.776301
i: 132	t: 0.004400	in: 0.181549	or: 0.151346	oi: -0.768346
i: 133	t: 0.004433	in: 0.183199	or: 0.155079	oi: -0.760506
i: 134	t: 0.004467	in: 0.164201	or: 0.158708	oi: -0.752808
i: 135	t: 0.004500	in: 0.123572	or: 0.162267	oi: -0.745237
i: 136	t: 0.004533	in: 0.062543	or: 0.165721	oi: -0.737787
i: 137	t: 0.004567	in: -0.015408	or: 0.169098	oi: -0.730466
i: 138	t: 0.004600	in: -0.104758	or: 0.172381	oi: -0.723246
i: 139	t: 0.004633	in: -0.198326	or: 0.175617	oi: -0.716158
i: 140	t: 0.004667	in: -0.287845	or: 0.178761	oi: -0.709176
i: 141	t: 0.004700	in: -0.364666	or: 0.181832	oi: -0.702290
i: 142	t: 0.004733	in: -0.420527	or: 0.184838	oi: -0.695525
i: 143	t: 0.004767	in: -0.448336	or: 0.187760	oi: -0.688854
i: 144	t: 0.004800	in: -0.442884	or: 0.190625	oi: -0.682282
i: 145	t: 0.004833	in: -0.401443	or: 0.193426	oi: -0.675806
i: 146	t: 0.004867	in: -0.324163	or: 0.196166	oi: -0.669434
i: 147	t: 0.004900	in: -0.214253	or: 0.198849	oi: -0.663146
i: 148	t: 0.004933	in: -0.077904	or: 0.201464	oi: -0.656956
i: 149	t: 0.004967	in: 0.076047	or: 0.204025	oi: -0.650851
i: 150	t: 0.005000	in: 0.236693	or: 0.206522	oi: -0.644838
i: 151	t: 0.005033	in: 0.391832	or: 0.208977	oi: -0.638899
i: 152	t: 0.005067	in: 0.528899	or: 0.211379	oi: -0.633036
i: 153	t: 0.005100	in: 0.635967	or: 0.213731	oi: -0.627250
i: 154	t: 0.005133	in: 0.702749	or: 0.216030	oi: -0.621563
i: 155	t: 0.005167	in: 0.721511	or: 0.218269	oi: -0.615936
i: 156	t: 0.005200	in: 0.687834	or: 0.220481	oi: -0.610391
i: 157	t: 0.005233	in: 0.601130	or: 0.222636	oi: -0.604915
i: 158	t: 0.005267	in: 0.464890	or: 0.224744	oi: -0.599520
i: 159	t: 0.005300	in: 0.286610	or: 0.226819	oi: -0.594181
i: 160	t: 0.005333	in: 0.077400	or: 0.228844	oi: -0.588926
i: 161	t: 0.005367	in: -0.148701	or: 0.230831	oi: -0.583713
i: 162	t: 0.005400	in: -0.375682	or: 0.232774	oi: -0.578581
i: 163	t: 0.005433	in: -0.586701	or: 0.234692	oi: -0.573514
i: 164	t: 0.005467	in: -0.765337	or: 0.236557	oi: -0.568505
i: 165	t: 0.005500	in: -0.896863	or: 0.238395	oi: -0.563542
i: 166	t: 0.005533	in: -0.969439	or: 0.240199	oi: -0.558658
i: 167	t: 0.005567	in: -0.975126	or: 0.241950	oi: -0.553829
i: 168	t: 0.005600	in: -0.910641	or: 0.243685	oi: -0.549046
i: 169	t: 0.005633	in: -0.777787	or: 0.245388	oi: -0.544326
i: 170	t: 0.005667	in: -0.583509	or: 0.247057	oi: -0.539652
i: 171	t: 0.005700	in: -0.339565	or: 0.248681	oi: -0.535045
i: 172	t: 0.005733	in: -0.061822	or: 0.250283	oi: -0.530483
i: 173	t: 0.005767	in: 0.230784	or: 0.251858	oi: -0.525971
i: 174	t: 0.005800	in: 0.517549	or: 0.253403	oi: -0.521519
i: 175	t: 0.005833	in: 0.777479	or: 0.254913	oi: -0.517108
i: 176	t: 0.005867	in: 0.990832	or: 0.256406	oi: -0.512742
i: 177	t: 0.005900	in: 1.140623	or: 0.257866	oi: -0.508428
i: 178	t: 0.005933	in: 1.213958	or: 0.259292	oi: -0.504166
i: 179	t: 0.005967	in: 1.203110	or: 0.260705	oi: -0.499936
i: 180	t: 0.006000	in: 1.106244	or: 0.262085	oi: -0.495753
i: 181	t: 0.006033	in: 0.927719	or: 0.263451	oi: -0.491631
i: 182	t: 0.006067	in: 0.677951	or: 0.264794	oi: -0.487530
i: 183	t: 0.006100	in: 0.372811	or: 0.266079	oi: -0.483480
i: 184	t: 0.006133	in: 0.032624	or: 0.267377	oi: -0.479463
i: 185	t: 0.006167	in: -0.319203	or: 0.268635	oi: -0.475495
